                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.4394,                  1.615,                 1.9041,                0.57692,                0.55331,                0.56537,                0.35521,                 1.3889,                 1.4559,                 1.8366,              0.0073765,              0.0073765,              0.0073765
                     55,                  1.434,                 1.6463,                 1.9133,                0.53087,                0.58068,                0.58468,                0.36253,                 1.4632,                 1.4163,                 1.8672,               0.007327,               0.007327,               0.007327
                     56,                 1.4669,                 1.6761,                 1.9332,                0.53748,                0.50129,                 0.5486,                0.33907,                 1.3887,                 1.4679,                 1.8355,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3864,                 1.5601,                 1.8779,                0.71925,                0.48393,                0.58037,                0.35197,                 1.4824,                 1.4803,                 1.9137,               0.007228,               0.007228,               0.007228
                     58,                 1.4407,                  1.577,                  1.899,                0.50985,                0.61061,                0.59745,                0.37458,                 1.3994,                 1.5074,                 1.8281,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4188,                 1.5639,                 1.8918,                0.46318,                0.65296,                0.59974,                0.37686,                 1.3944,                 1.3493,                 1.8006,               0.007129,               0.007129,               0.007129
                     60,                 1.4244,                 1.5341,                 1.8945,                 0.5414,                0.51148,                0.55205,                0.34764,                 1.4065,                 1.4386,                 1.8479,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4186,                 1.5388,                  1.893,                0.49712,                0.56442,                0.59518,                 0.3725,                 1.3473,                 1.4129,                 1.7967,                0.00703,                0.00703,                0.00703
                     62,                 1.3854,                 1.5521,                 1.8679,                0.38899,                0.61838,                0.51302,                0.31115,                 1.4443,                 1.5455,                 1.8748,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.4131,                 1.5334,                 1.8668,                0.54779,                0.56511,                0.60059,                0.37546,                 1.3949,                 1.4691,                 1.8332,               0.006931,               0.006931,               0.006931
                     64,                 1.4292,                 1.5149,                 1.8745,                  0.615,                0.47643,                0.59468,                0.38034,                 1.3828,                 1.4603,                 1.8068,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.3838,                 1.4872,                 1.8495,                 0.5286,                0.61163,                0.62665,                0.40331,                 1.4026,                 1.5063,                 1.8231,               0.006832,               0.006832,               0.006832
                     66,                 1.3621,                 1.4209,                 1.8261,                0.50405,                0.54898,                0.55249,                0.35022,                 1.4146,                 1.6097,                 1.8405,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.3936,                 1.4132,                 1.8611,                0.61078,                0.49479,                0.57385,                0.37043,                 1.3879,                 1.3423,                 1.8217,               0.006733,               0.006733,               0.006733
                     68,                 1.3634,                   1.45,                 1.8465,                0.60915,                0.44467,                0.52859,                0.33724,                 1.4283,                 1.5809,                 1.8521,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.3887,                 1.4154,                 1.8466,                0.42232,                0.64445,                 0.5567,                0.35216,                 1.3885,                 1.4525,                 1.7988,               0.006634,               0.006634,               0.006634
                     70,                 1.3783,                 1.4375,                 1.8517,                0.55302,                0.55958,                0.62282,                0.38689,                 1.3976,                 1.3834,                 1.8344,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.3929,                 1.4183,                 1.8442,                0.56696,                0.62948,                0.62285,                0.37199,                 1.4121,                 1.3888,                 1.8581,               0.006535,               0.006535,               0.006535
                     72,                 1.3578,                 1.3649,                 1.8188,                0.67306,                0.60101,                0.66642,                0.38041,                 1.3983,                  1.332,                 1.8319,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3286,                 1.3755,                 1.7936,                0.50622,                0.53562,                0.55424,                0.33477,                 1.4125,                 1.4809,                 1.8228,               0.006436,               0.006436,               0.006436
                     74,                 1.3689,                 1.3794,                 1.8209,                0.53056,                0.51346,                0.58205,                0.36105,                 1.4123,                 1.4514,                 1.8399,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.3355,                 1.3457,                 1.7969,                0.50656,                0.63793,                0.58855,                0.37072,                 1.4038,                 1.4673,                 1.8057,               0.006337,               0.006337,               0.006337
                     76,                 1.3547,                  1.346,                 1.8136,                0.59559,                0.49163,                0.55816,                0.34181,                 1.4023,                 1.4745,                  1.843,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.3718,                  1.359,                 1.8241,                0.48891,                0.54505,                0.53765,                0.32918,                 1.4118,                 1.5676,                 1.8452,               0.006238,               0.006238,               0.006238
                     78,                 1.3578,                 1.3808,                 1.8295,                 0.4615,                0.56947,                0.53526,                0.33311,                 1.4003,                 1.5561,                 1.8404,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.3217,                 1.2824,                 1.7869,                0.61574,                0.57397,                0.63128,                0.38009,                 1.3987,                 1.2982,                  1.845,               0.006139,               0.006139,               0.006139
                     80,                 1.3373,                 1.2854,                 1.8176,                0.56538,                0.60415,                 0.6322,                0.39288,                 1.4004,                 1.4063,                 1.8281,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.3193,                 1.2694,                 1.7767,                0.51813,                0.53656,                 0.5817,                0.37318,                 1.3918,                 1.4974,                 1.8048,                0.00604,                0.00604,                0.00604
                     82,                 1.3088,                  1.283,                  1.786,                0.48801,                0.63166,                0.56893,                0.35638,                 1.3534,                 1.4618,                 1.7958,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.3048,                 1.2738,                 1.7619,                0.46592,                0.60917,                0.54808,                0.33739,                 1.4341,                 1.4874,                 1.8567,               0.005941,               0.005941,               0.005941
                     84,                 1.3016,                  1.289,                 1.7784,                0.64197,                0.41309,                0.58767,                0.37209,                 1.4025,                 1.5358,                 1.8828,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.2735,                 1.2469,                 1.7526,                0.55325,                0.62854,                0.59412,                 0.3668,                 1.4372,                 1.4477,                 1.8843,               0.005842,               0.005842,               0.005842
                     86,                 1.3036,                 1.2577,                 1.7706,                0.56772,                0.59329,                0.63006,                0.40175,                 1.3913,                 1.3711,                 1.7993,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.2838,                 1.2232,                 1.7497,                0.54886,                0.61784,                0.62677,                 0.3982,                 1.3537,                 1.3939,                 1.7793,               0.005743,               0.005743,               0.005743
                     88,                 1.3027,                 1.2759,                 1.7577,                0.56607,                 0.5531,                0.59755,                0.37335,                 1.4144,                 1.4498,                 1.8472,              0.0056935,              0.0056935,              0.0056935
                     89,                   1.29,                 1.2437,                  1.749,                0.49178,                 0.6438,                0.57721,                0.35529,                 1.4123,                 1.3889,                 1.8319,               0.005644,               0.005644,               0.005644
                     90,                 1.2629,                  1.208,                 1.7329,                0.50505,                0.53762,                0.50336,                0.30878,                 1.4239,                  1.579,                 1.8463,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.2807,                 1.2408,                 1.7661,                0.52363,                 0.5234,                0.56466,                0.35952,                  1.383,                 1.4619,                 1.8353,               0.005545,               0.005545,               0.005545
                     92,                 1.2292,                 1.1511,                 1.7221,                0.57532,                0.59553,                0.60743,                0.38942,                 1.3695,                 1.3004,                 1.7988,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.2449,                 1.1424,                 1.7202,                0.51352,                0.56751,                0.56488,                0.36774,                 1.3701,                 1.5078,                 1.7904,               0.005446,               0.005446,               0.005446
                     94,                 1.2684,                 1.2476,                 1.7237,                0.55793,                0.50648,                0.54598,                0.35516,                 1.3764,                 1.5887,                 1.7935,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.2784,                 1.2105,                 1.7264,                 0.7139,                0.53748,                0.65275,                 0.4085,                 1.3992,                 1.2857,                 1.8335,               0.005347,               0.005347,               0.005347
                     96,                 1.2539,                 1.1515,                 1.7181,                0.57525,                 0.6326,                0.65833,                0.41464,                 1.4032,                 1.3695,                 1.8163,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.2225,                 1.1457,                 1.7037,                0.55492,                0.63938,                0.63071,                0.40111,                 1.3693,                 1.3767,                 1.7985,               0.005248,               0.005248,               0.005248
                     98,                 1.2291,                 1.1438,                 1.7041,                0.67736,                0.52268,                0.62458,                0.40798,                 1.3628,                 1.3555,                 1.8032,              0.0051985,              0.0051985,              0.0051985
                     99,                  1.227,                 1.0938,                 1.6924,                 0.6566,                0.55349,                0.63019,                0.39966,                 1.3806,                 1.3415,                  1.814,               0.005149,               0.005149,               0.005149
                    100,                 1.2278,                 1.1365,                 1.6998,                 0.5491,                0.60291,                0.60641,                0.40297,                 1.3393,                 1.4008,                 1.7864,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.2275,                 1.1255,                 1.6978,                0.66913,                0.54215,                0.60542,                0.39835,                 1.3694,                 1.3235,                 1.7885,                0.00505,                0.00505,                0.00505
                    102,                 1.2192,                 1.1147,                 1.6811,                0.75483,                 0.5206,                 0.6476,                0.41095,                 1.3788,                  1.301,                 1.8155,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.2227,                 1.0897,                 1.7026,                  0.563,                0.61015,                0.61664,                0.39565,                 1.3798,                 1.3999,                 1.8244,               0.004951,               0.004951,               0.004951
                    104,                 1.2261,                 1.1317,                 1.7072,                0.51605,                0.59661,                0.55675,                0.35681,                 1.3999,                 1.5096,                 1.8527,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.2242,                 1.0923,                 1.6924,                0.62729,                0.48131,                0.59109,                0.38502,                 1.4101,                 1.4927,                 1.8399,               0.004852,               0.004852,               0.004852
                    106,                 1.1945,                  1.075,                 1.6643,                0.63833,                0.56276,                0.60838,                0.39425,                 1.3795,                 1.3399,                  1.811,              0.0048025,              0.0048025,              0.0048025
                    107,                  1.179,                 1.0599,                 1.6498,                0.66434,                0.47863,                0.58614,                0.37153,                 1.3838,                 1.5016,                 1.8371,               0.004753,               0.004753,               0.004753
                    108,                 1.2146,                  1.103,                 1.6864,                0.60444,                0.60513,                0.61655,                0.38629,                 1.4015,                 1.3933,                 1.8359,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.1946,                  1.053,                 1.6566,                0.57182,                0.57273,                0.61495,                0.39382,                 1.3726,                 1.3302,                 1.8009,               0.004654,               0.004654,               0.004654
                    110,                 1.1806,                 1.0549,                 1.6525,                0.69833,                0.55802,                0.65091,                0.40438,                 1.3988,                 1.3862,                 1.8236,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.1735,                 1.0419,                 1.6502,                0.56253,                0.65454,                0.66942,                0.42478,                 1.3969,                 1.3754,                 1.8313,               0.004555,               0.004555,               0.004555
                    112,                 1.1714,                 1.0693,                 1.6412,                0.58054,                0.51977,                0.56908,                0.36515,                 1.3759,                 1.4258,                 1.8366,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.1627,                 1.0126,                 1.6201,                0.58391,                0.53444,                0.58445,                0.38444,                 1.4075,                 1.4405,                 1.8601,               0.004456,               0.004456,               0.004456
                    114,                 1.1632,                 1.0197,                 1.6367,                0.60607,                 0.5074,                0.58254,                0.38225,                 1.3423,                 1.4439,                 1.7871,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.1829,                 1.0505,                 1.6571,                0.56371,                0.60199,                 0.6253,                0.39504,                 1.3662,                 1.2989,                 1.7982,               0.004357,               0.004357,               0.004357
                    116,                 1.1604,                 1.0432,                 1.6433,                0.57647,                0.55528,                0.57976,                0.36334,                 1.4278,                 1.5097,                 1.8986,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.1557,                 1.0124,                 1.6286,                0.66425,                0.56545,                0.62082,                0.39098,                 1.4032,                 1.2904,                 1.8458,               0.004258,               0.004258,               0.004258
                    118,                 1.1538,                 1.0399,                 1.6218,                0.53765,                 0.5561,                 0.5751,                 0.3763,                 1.3765,                 1.4724,                  1.843,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.1403,                0.98998,                 1.6309,                0.60884,                0.56224,                0.59758,                0.39182,                 1.3747,                 1.4173,                  1.821,               0.004159,               0.004159,               0.004159
                    120,                 1.1202,                   0.98,                 1.6056,                0.61369,                0.59388,                0.62835,                0.41233,                 1.3512,                 1.3171,                 1.7989,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.1467,                0.99906,                 1.6192,                0.58009,                0.58143,                0.60821,                0.38703,                 1.3695,                 1.3535,                 1.8253,                0.00406,                0.00406,                0.00406
                    122,                 1.1129,                0.96225,                 1.6068,                0.57113,                0.53796,                0.58598,                0.37788,                 1.3808,                  1.411,                 1.8176,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.1276,                0.97931,                 1.6213,                0.59787,                 0.4985,                0.59837,                0.37293,                 1.4001,                 1.5039,                 1.8518,               0.003961,               0.003961,               0.003961
                    124,                  1.105,                0.96696,                 1.5951,                0.66867,                 0.5546,                0.62876,                0.40225,                 1.3767,                 1.3482,                  1.838,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.1506,                0.98591,                  1.607,                0.60808,                 0.6304,                0.65923,                0.40753,                 1.3902,                   1.29,                 1.8395,               0.003862,               0.003862,               0.003862
                    126,                 1.1252,                0.97347,                   1.61,                0.47383,                0.61361,                0.58118,                0.35535,                 1.3826,                 1.4223,                 1.8025,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.1167,                0.98227,                 1.6057,                0.52966,                0.56905,                0.55667,                 0.3564,                 1.3569,                 1.5318,                 1.7965,               0.003763,               0.003763,               0.003763
                    128,                 1.1176,                0.95027,                 1.6014,                0.66468,                 0.4969,                0.61403,                0.38273,                 1.3998,                 1.4009,                 1.8563,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.0999,                0.95072,                 1.5853,                0.58866,                0.57102,                0.61183,                0.38401,                 1.4056,                 1.5582,                 1.8534,               0.003664,               0.003664,               0.003664
                    130,                 1.1226,                 0.9697,                 1.5852,                0.57503,                0.62738,                0.59957,                0.37734,                 1.3789,                 1.5186,                 1.8557,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.1405,                0.98547,                 1.6076,                0.57578,                0.63841,                0.60317,                 0.3813,                 1.3969,                 1.3918,                 1.8647,               0.003565,               0.003565,               0.003565
                    132,                 1.1504,                0.97329,                 1.6041,                0.49232,                0.56558,                0.53078,                0.33401,                 1.4007,                 1.5015,                 1.8677,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.0902,                0.94031,                 1.5574,                0.54844,                0.61608,                0.62553,                0.40532,                 1.3518,                 1.3441,                 1.8028,               0.003466,               0.003466,               0.003466
                    134,                  1.118,                0.95825,                 1.5808,                0.57392,                 0.5746,                0.61272,                0.39583,                 1.3452,                 1.4243,                 1.7985,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.0883,                0.90688,                  1.566,                0.61229,                0.51276,                0.57266,                0.38314,                  1.379,                 1.5801,                 1.8212,               0.003367,               0.003367,               0.003367
                    136,                  1.097,                0.93721,                 1.5611,                 0.7111,                0.54252,                0.64657,                0.41993,                 1.3858,                 1.3287,                 1.8427,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.0587,                0.91426,                 1.5549,                0.68659,                0.59226,                0.65299,                0.42102,                 1.3645,                 1.2651,                 1.8199,               0.003268,               0.003268,               0.003268
                    138,                 1.0634,                0.89226,                 1.5436,                0.59871,                0.58943,                0.60467,                0.38626,                 1.3549,                 1.3275,                 1.8365,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.0674,                0.88952,                 1.5488,                0.59528,                 0.6215,                0.62012,                0.41056,                 1.3366,                 1.3949,                  1.797,               0.003169,               0.003169,               0.003169
                    140,                 1.0582,                0.91767,                 1.5464,                0.64808,                0.58222,                 0.6059,                0.39678,                 1.3586,                 1.2989,                 1.8495,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.0575,                0.88787,                 1.5356,                0.54457,                0.64928,                0.62325,                0.40863,                 1.3427,                 1.2791,                 1.8254,                0.00307,                0.00307,                0.00307
                    142,                 1.0651,                 0.8994,                 1.5374,                0.67425,                0.55195,                0.63215,                0.41062,                 1.3587,                 1.3556,                 1.8299,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.0799,                0.89945,                 1.5395,                0.61036,                0.54046,                0.58566,                0.37976,                 1.3702,                 1.5542,                 1.8292,               0.002971,               0.002971,               0.002971
                    144,                 1.0724,                0.88483,                 1.5524,                0.69596,                0.57351,                0.66201,                0.42598,                 1.3868,                 1.2982,                 1.8362,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.0745,                0.91839,                 1.5739,                0.59144,                0.55904,                 0.5828,                0.38872,                 1.3399,                 1.3779,                 1.7894,               0.002872,               0.002872,               0.002872
                    146,                 1.0681,                0.88602,                 1.5324,                0.49607,                0.61982,                0.59544,                0.38836,                 1.3903,                 1.4892,                 1.8551,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.0556,                0.87799,                 1.5321,                0.59343,                0.65536,                0.68267,                0.45349,                 1.3164,                  1.257,                 1.8052,               0.002773,               0.002773,               0.002773
                    148,                 1.0625,                0.86427,                 1.5364,                 0.5743,                0.63442,                0.66106,                0.42007,                 1.3729,                 1.3044,                 1.8646,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.0561,                0.88503,                 1.5333,                0.60364,                0.55557,                0.62864,                0.41031,                 1.3315,                  1.364,                 1.8091,               0.002674,               0.002674,               0.002674
                    150,                 1.0415,                0.86933,                 1.5336,                0.56342,                0.58454,                0.60426,                0.39411,                 1.3439,                 1.4386,                 1.7969,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.0528,                0.87706,                 1.5236,                0.70326,                0.48653,                0.62625,                 0.4088,                 1.3751,                 1.4332,                 1.8479,               0.002575,               0.002575,               0.002575
                    152,                 1.0339,                0.87527,                 1.5092,                0.61836,                0.60251,                0.64425,                0.42726,                 1.3466,                 1.3498,                 1.8062,              0.0025255,              0.0025255,              0.0025255
