                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.1975,                 1.1101,                 1.6308,                 0.6442,                0.54129,                 0.6172,                0.39579,                  1.323,                 1.4265,                 1.6923,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.2009,                 1.0634,                 1.6269,                0.58717,                0.51505,                0.59926,                0.38789,                 1.3809,                 1.5053,                 1.7168,               0.004852,               0.004852,               0.004852
                    106,                 1.1741,                 1.0529,                 1.6059,                0.57953,                 0.5433,                0.62389,                0.40638,                 1.3251,                 1.3422,                 1.7131,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.1714,                 1.0464,                 1.6014,                0.49183,                0.56661,                0.58695,                0.37899,                 1.3587,                 1.4774,                 1.7172,               0.004753,               0.004753,               0.004753
                    108,                 1.1975,                 1.0899,                  1.621,                0.62188,                0.44063,                0.56831,                0.36984,                 1.3644,                 1.5237,                 1.7186,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.1768,                 1.0204,                 1.5992,                0.60935,                0.49892,                0.61521,                 0.3994,                 1.3578,                 1.4655,                 1.6916,               0.004654,               0.004654,               0.004654
                    110,                 1.1574,                  1.031,                 1.5867,                0.63108,                0.45349,                0.56993,                0.36316,                 1.3268,                 1.5145,                 1.7104,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.1543,                 1.0229,                 1.5966,                0.57401,                0.52121,                0.62321,                0.39711,                 1.3274,                 1.4453,                  1.714,               0.004555,               0.004555,               0.004555
                    112,                 1.1595,                 1.0125,                 1.5923,                0.52003,                0.58013,                0.60449,                0.38861,                 1.3624,                 1.3601,                 1.7404,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.1361,                0.97513,                 1.5658,                0.53325,                0.54851,                0.63506,                0.40795,                 1.3598,                  1.415,                 1.7414,               0.004456,               0.004456,               0.004456
                    114,                 1.1535,                 1.0193,                 1.5878,                 0.5792,                0.59324,                0.60689,                0.39416,                 1.3255,                  1.376,                 1.7121,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.1637,                 1.0217,                 1.6035,                0.63908,                0.43159,                0.59424,                0.38228,                 1.3403,                 1.3592,                 1.7056,               0.004357,               0.004357,               0.004357
                    116,                 1.1493,                   1.02,                 1.5975,                0.69103,                0.47217,                0.58467,                0.36091,                 1.3717,                 1.4729,                 1.7574,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.1334,                0.98128,                 1.5729,                0.68766,                0.48851,                 0.6235,                0.39606,                 1.3259,                 1.3945,                 1.6833,               0.004258,               0.004258,               0.004258
                    118,                   1.15,                 1.0008,                  1.569,                0.52225,                0.58595,                  0.598,                0.38673,                 1.3327,                 1.5083,                 1.7203,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.1224,                0.98047,                 1.5679,                0.63086,                0.50021,                0.58089,                0.37826,                 1.3608,                 1.3762,                 1.7286,               0.004159,               0.004159,               0.004159
                    120,                 1.1146,                 0.9687,                 1.5541,                 0.6744,                 0.4302,                0.60904,                0.39553,                 1.3616,                 1.4203,                 1.7222,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.1242,                 0.9558,                 1.5538,                0.60747,                0.51307,                0.59998,                0.38069,                  1.352,                 1.3616,                 1.7375,                0.00406,                0.00406,                0.00406
                    122,                 1.0985,                0.94516,                 1.5467,                0.68101,                0.50813,                0.61885,                 0.4044,                 1.3678,                 1.4009,                 1.7303,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.1109,                0.96498,                 1.5604,                0.61065,                0.61504,                0.63143,                0.40468,                 1.3355,                 1.3436,                 1.7143,               0.003961,               0.003961,               0.003961
                    124,                 1.0854,                0.93316,                 1.5341,                0.73991,                0.52481,                0.61297,                0.38873,                 1.3558,                 1.3242,                 1.7165,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.1414,                0.97864,                 1.5643,                0.53378,                0.53635,                0.56234,                0.34975,                 1.4116,                 1.6124,                 1.7757,               0.003862,               0.003862,               0.003862
                    126,                 1.1126,                0.95703,                 1.5524,                0.59546,                0.53505,                0.56788,                0.36017,                 1.3718,                 1.4528,                 1.7635,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.1018,                0.94703,                 1.5448,                0.51496,                0.61322,                 0.6084,                0.38543,                 1.3499,                 1.3723,                 1.7159,               0.003763,               0.003763,               0.003763
                    128,                 1.1033,                0.94519,                 1.5387,                0.68604,                 0.4682,                0.60223,                 0.3791,                 1.3809,                 1.4387,                 1.7389,              0.0037135,              0.0037135,              0.0037135
                    129,                  1.083,                0.93428,                 1.5186,                0.51354,                0.62222,                0.60717,                0.39106,                 1.3818,                 1.3601,                 1.7387,               0.003664,               0.003664,               0.003664
                    130,                 1.1027,                0.93467,                 1.5298,                0.41935,                0.70214,                0.56092,                0.35749,                 1.3688,                 1.6276,                  1.754,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.1276,                0.96302,                 1.5521,                0.55071,                0.59227,                0.58328,                0.37989,                 1.3339,                 1.3795,                 1.7266,               0.003565,               0.003565,               0.003565
                    132,                 1.1339,                0.95395,                 1.5485,                0.57359,                0.56629,                0.59134,                0.36903,                 1.4061,                 1.3911,                 1.7788,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.0734,                0.92773,                 1.5053,                0.61622,                0.58365,                0.61727,                0.39334,                 1.3696,                 1.4715,                 1.7629,               0.003466,               0.003466,               0.003466
                    134,                 1.0931,                0.93234,                 1.5205,                0.52386,                0.58369,                 0.5941,                0.38141,                 1.4247,                 1.5975,                 1.7938,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.0657,                0.87681,                 1.5054,                0.57223,                0.55471,                0.58441,                0.38243,                 1.3505,                 1.4187,                 1.7432,               0.003367,               0.003367,               0.003367
                    136,                 1.0981,                0.90159,                 1.5211,                0.53472,                0.61604,                0.62251,                0.40213,                 1.3647,                 1.3251,                 1.7352,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.0404,                0.89351,                 1.4946,                0.59099,                0.55518,                0.60782,                0.39041,                 1.3435,                 1.3495,                  1.714,               0.003268,               0.003268,               0.003268
                    138,                 1.0604,                0.88695,                 1.4991,                0.65008,                0.49387,                0.61346,                0.37103,                 1.3957,                 1.4403,                 1.7973,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.0458,                0.88048,                 1.4901,                0.53706,                0.61013,                0.61809,                0.39049,                 1.3638,                 1.3999,                 1.7493,               0.003169,               0.003169,               0.003169
